Codigo,Fator,Tipo
1,Idade,18–44
2,Idade,45–64
3,Idade,65–74
4,Idade,Mais que 75
5,Emprego,Empregado
6,Emprego,Ja trabalhou
7,Emprego,Nunca trabalhou
8,Educacao,Medio incompleto
9,Educacao,Medio completo
10,Educacao,Superior completo
11,Raca,Branca
12,Raca,Preta
13,Raca,Indigena
14,Raca,Asiatica
15,Regiao,Northeast
16,Regiao,Midwest
17,Regiao,South
18,Regiao,West
19,Renda,Ate 35000
20,Renda,De 35000 a 49999
21,Renda,De 50000 a 74999
22,Renda,De 75000 a 99999
23,Renda,100000 ou mais
24,Sexo,M 
25,Sexo,F 
26,Status,Casado
27,Status,Viuvo
28,Status,Divorciado
29,Status,Solteiro
30,Status,Morando junto
